Time,Input,2,Output
second,Volt,Volt,Volt
-2.00E-07,3.21E+00,8.30E-02,-4.69E-01
-1.98E-07,3.15E+00,8.30E-02,-4.69E-01
-1.97E-07,3.15E+00,8.30E-02,-3.13E-01
-1.96E-07,3.09E+00,8.30E-02,-4.69E-01
-1.95E-07,3.09E+00,2.05E-02,-6.25E-01
-1.93E-07,3.02E+00,8.30E-02,-6.25E-01
-1.92E-07,3.09E+00,8.30E-02,-4.69E-01
-1.91E-07,3.09E+00,8.30E-02,-4.69E-01
-1.90E-07,3.15E+00,8.30E-02,-6.25E-01
-1.88E-07,3.09E+00,2.05E-02,-3.13E-01
-1.87E-07,3.09E+00,8.30E-02,-4.69E-01
-1.86E-07,3.09E+00,2.05E-02,-4.69E-01
-1.85E-07,3.15E+00,8.30E-02,-4.69E-01
-1.84E-07,3.15E+00,2.05E-02,-4.69E-01
-1.82E-07,3.15E+00,2.05E-02,-3.13E-01
-1.81E-07,3.15E+00,2.05E-02,-1.56E-01
-1.80E-07,3.21E+00,1.46E-01,-3.13E-01
-1.79E-07,3.21E+00,8.30E-02,-3.13E-01
-1.77E-07,3.15E+00,1.46E-01,-1.56E-01
-1.76E-07,3.21E+00,8.30E-02,-1.56E-01
-1.75E-07,3.27E+00,1.46E-01,-1.56E-01
-1.74E-07,3.21E+00,8.30E-02,-1.56E-01
-1.72E-07,3.27E+00,8.30E-02,0.00E+00
-1.71E-07,3.27E+00,8.30E-02,1.56E-01
-1.70E-07,3.27E+00,8.30E-02,1.56E-01
-1.69E-07,3.34E+00,8.30E-02,1.56E-01
-1.67E-07,3.27E+00,1.46E-01,1.56E-01
-1.66E-07,3.27E+00,8.30E-02,3.13E-01
-1.65E-07,3.27E+00,2.05E-02,3.13E-01
-1.64E-07,3.27E+00,1.46E-01,3.13E-01
-1.62E-07,3.27E+00,1.46E-01,3.13E-01
-1.61E-07,3.27E+00,1.46E-01,3.13E-01
-1.60E-07,3.34E+00,8.30E-02,3.13E-01
-1.59E-07,3.40E+00,1.46E-01,3.13E-01
-1.57E-07,3.27E+00,1.46E-01,3.13E-01
-1.56E-07,3.40E+00,8.30E-02,3.13E-01
-1.55E-07,3.34E+00,2.08E-01,3.13E-01
-1.54E-07,3.40E+00,8.30E-02,1.56E-01
-1.53E-07,3.46E+00,1.46E-01,1.56E-01
-1.51E-07,3.34E+00,8.30E-02,3.13E-01
-1.50E-07,3.46E+00,8.30E-02,1.56E-01
-1.49E-07,3.46E+00,1.46E-01,3.13E-01
-1.48E-07,3.52E+00,1.46E-01,3.13E-01
-1.46E-07,3.46E+00,2.08E-01,1.56E-01
-1.45E-07,3.52E+00,1.46E-01,1.56E-01
-1.44E-07,3.52E+00,8.30E-02,1.56E-01
-1.43E-07,3.59E+00,2.08E-01,0.00E+00
-1.41E-07,3.65E+00,1.46E-01,1.56E-01
-1.40E-07,3.65E+00,1.46E-01,1.56E-01
-1.39E-07,3.59E+00,1.46E-01,-1.56E-01
-1.38E-07,3.71E+00,1.46E-01,1.56E-01
-1.36E-07,3.71E+00,1.46E-01,-1.56E-01
-1.35E-07,3.77E+00,1.46E-01,0.00E+00
-1.34E-07,3.84E+00,1.46E-01,-1.56E-01
-1.33E-07,3.84E+00,1.46E-01,-1.56E-01
-1.31E-07,3.84E+00,1.46E-01,-1.56E-01
-1.30E-07,3.77E+00,2.08E-01,0.00E+00
-1.29E-07,3.90E+00,8.30E-02,0.00E+00
-1.28E-07,3.90E+00,1.46E-01,0.00E+00
-1.26E-07,3.84E+00,8.30E-02,0.00E+00
-1.25E-07,3.96E+00,1.46E-01,0.00E+00
-1.24E-07,3.96E+00,1.46E-01,0.00E+00
-1.23E-07,4.02E+00,1.46E-01,-1.56E-01
-1.22E-07,4.02E+00,8.30E-02,-1.56E-01
-1.20E-07,3.96E+00,1.46E-01,-1.56E-01
-1.19E-07,3.96E+00,1.46E-01,-1.56E-01
-1.18E-07,4.02E+00,8.30E-02,-1.56E-01
-1.17E-07,4.02E+00,8.30E-02,-1.56E-01
-1.15E-07,4.09E+00,2.08E-01,-1.56E-01
-1.14E-07,4.09E+00,2.08E-01,-1.56E-01
-1.13E-07,4.02E+00,8.30E-02,0.00E+00
-1.12E-07,4.02E+00,8.30E-02,-3.13E-01
-1.10E-07,4.09E+00,8.30E-02,-1.56E-01
-1.09E-07,4.09E+00,8.30E-02,-1.56E-01
-1.08E-07,4.09E+00,8.30E-02,-1.56E-01
-1.07E-07,4.15E+00,1.46E-01,-3.13E-01
-1.05E-07,4.09E+00,1.46E-01,-1.56E-01
-1.04E-07,4.21E+00,8.30E-02,-3.13E-01
-1.03E-07,4.21E+00,1.46E-01,-3.13E-01
-1.02E-07,4.21E+00,8.30E-02,-1.56E-01
-1.00E-07,4.34E+00,1.46E-01,0.00E+00
-9.92E-08,4.27E+00,1.46E-01,-1.56E-01
-9.80E-08,4.27E+00,2.08E-01,-1.56E-01
-9.67E-08,4.34E+00,1.46E-01,-1.56E-01
-9.55E-08,4.21E+00,1.46E-01,-3.13E-01
-9.42E-08,4.34E+00,1.46E-01,-1.56E-01
-9.30E-08,4.34E+00,8.30E-02,0.00E+00
-9.18E-08,4.34E+00,1.46E-01,0.00E+00
-9.05E-08,4.34E+00,1.46E-01,-1.56E-01
-8.93E-08,4.40E+00,1.46E-01,-1.56E-01
-8.80E-08,4.40E+00,8.30E-02,-1.56E-01
-8.68E-08,4.40E+00,1.46E-01,-3.13E-01
-8.56E-08,4.52E+00,8.30E-02,-1.56E-01
-8.43E-08,4.46E+00,8.30E-02,1.56E-01
-8.31E-08,4.46E+00,1.46E-01,-1.56E-01
-8.18E-08,4.46E+00,1.46E-01,0.00E+00
-8.06E-08,4.52E+00,1.46E-01,0.00E+00
-7.94E-08,4.52E+00,8.30E-02,0.00E+00
-7.81E-08,4.52E+00,1.46E-01,1.56E-01
-7.69E-08,4.52E+00,8.30E-02,1.56E-01
-7.56E-08,4.46E+00,8.30E-02,1.56E-01
-7.44E-08,4.52E+00,1.46E-01,0.00E+00
-7.32E-08,4.52E+00,8.30E-02,-1.56E-01
-7.19E-08,4.40E+00,2.05E-02,-1.56E-01
-7.07E-08,4.46E+00,8.30E-02,0.00E+00
-6.94E-08,4.40E+00,2.05E-02,0.00E+00
-6.82E-08,4.46E+00,8.30E-02,1.56E-01
-6.70E-08,4.46E+00,2.05E-02,-1.56E-01
-6.57E-08,4.34E+00,8.30E-02,0.00E+00
-6.45E-08,4.40E+00,-4.20E-02,0.00E+00
-6.32E-08,4.40E+00,2.05E-02,-1.56E-01
-6.20E-08,4.46E+00,2.05E-02,0.00E+00
-6.08E-08,4.46E+00,2.05E-02,0.00E+00
-5.95E-08,4.40E+00,8.30E-02,0.00E+00
-5.83E-08,4.40E+00,8.30E-02,0.00E+00
-5.70E-08,4.34E+00,2.05E-02,-1.56E-01
-5.58E-08,4.40E+00,-4.20E-02,-1.56E-01
-5.46E-08,4.40E+00,8.30E-02,0.00E+00
-5.33E-08,4.34E+00,8.30E-02,-1.56E-01
-5.21E-08,4.34E+00,2.05E-02,1.56E-01
-5.08E-08,4.34E+00,2.05E-02,-1.56E-01
-4.96E-08,4.40E+00,2.05E-02,-1.56E-01
-4.84E-08,4.34E+00,-4.20E-02,-1.56E-01
-4.71E-08,4.21E+00,8.30E-02,-1.56E-01
-4.59E-08,4.27E+00,2.05E-02,0.00E+00
-4.46E-08,4.27E+00,2.05E-02,0.00E+00
-4.34E-08,4.34E+00,8.30E-02,-1.56E-01
-4.22E-08,4.34E+00,8.30E-02,0.00E+00
